"Comment";"Designator";"Footprint";"JLCPCB Part #";"Quantity"
"SW_Push";"SW9,SW10,SW1,SW4,SW5,SW3,SW11,SW6,SW30,SW8,SW24,SW14,SW19,SW22,SW18,SW20,SW23,SW15,SW27,SW17,SW29,SW21,SW16,SW26,SW28,SW25,SW12,SW13,SW2,SW56,SW59,SW57,SW58,SW54,SW55,SW42,SW47,SW51,SW60,SW53,SW48,SW49,SW50,SW52,SW35,SW36,SW43,SW45,SW38,SW31,SW41,SW32,SW33,SW34,SW44,SW39,SW40,SW46";"MX_Hotswap";;58;
"12Mhz";"Y1,Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";"C9002";2;
"HOLE";"H26,H20,H24,H15,H23,H25,H13,H14,H18,H19";"Standoff_Hole";;10;
"30p";"C28,C27,C13,C14";"C_0402_1005Metric";"C1562";4;
"1u";"C5,C19,C4,C18";"C_0402_1005Metric";"C52923";4;
"1k5";"R13,R6";"R_0402_1005Metric";"C25867";2;
"120R";"FB1,FB2";"R_0603_1608Metric";"C1002";2;
"USBLC6-2SC6";"U6,U7,U2,U3";"SOT-23-6";"C7519";4;
"10k";"R3,R12,R5,R4,R7,R14,R10,R11";"R_0402_1005Metric";"C25744";8;
"STM32F103RCTx";"U4,U8";"LQFP-64_10x10mm_P0.5mm";"C8323";2;
"SMALL_HOLE";"H8,H3,H4,H7";"MountingHole_2.2mm_M2_Pad";;4;
"5k1";"R2,R8,R1,R9";"R_0402_1005Metric";"C25905";4;
"Conn_01x02_Pin";"J11,J9,J10";"PinSocket_1x02_P2.54mm_Vertical";;3;
"AudioJack4";"J2,J6";"TRRS-PJ-320A";;2;
"22u";"C1,C16,C2,C15";"C_0603_1608Metric";"C59461";4;
"tab";"H9,H10,H5,H12,H1,H6,H2,H11";"MouseBite";;8;
"TestPoint";"TP2,TP1";"TestPoint_Pad_D1.0mm";;2;
"AMS1117-3.3";"U1,U5";"SOT-223-3_TabPin2";C6186;2;
"L";"L3";"COIL_GENERATOR10";;1;
"100n";"C24,C11,C25,C22,C8,C7,C10,C12,C26,C9,C21,C23";"C_0402_1005Metric";"C1525";12;
"WHITE";"D2,D1";"LED_0603_1608Metric";"C2290";2;
"10u";"C20,C6";"C_0603_1608Metric";"C96446";2;
"USB_C_Receptacle";"J1,J5";"USB_TYPE-C-31-M-12";"C165948";2;
"L";"L2";"COIL_GENERATOR7";;1;
"Conn_01x04_Pin";"J8,J4";"PinHeader_1x04_P2.54mm_Vertical";;2;
"10n";"C17,C3";"C_0402_1005Metric";"C15195";2;
"L";"L1";"COIL_GENERATOR5";;1;
"SolderJumper_2_Open";"JP3,JP1";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";;2;
"Conn_01x04_Pin";"J7,J3";"SWD_POGO";;2;
"SolderJumper_2_Open";"JP4,JP2";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";;2;
"SW_Push";"SW7,SW37";"SW_SPST_CK_RS282G05A3";"C118141";2;
