"Comment";"Designator";"Footprint";"JLCPCB Part #";"Quantity"
"SW_Push";;"MX_Hotswap";;58;
"12Mhz";;"Crystal_SMD_3225-4Pin_3.2x2.5mm";"C9002";2;
"HOLE";;"Standoff_Hole";;10;
"30p";;"C_0402_1005Metric";"C1562";4;
"1u";;"C_0402_1005Metric";"C52923";4;
"1k5";;"R_0402_1005Metric";"C25867";2;
"120R";;"R_0603_1608Metric";"C1002";2;
"USBLC6-2SC6";;"SOT-23-6";"C7519";4;
"10k";;"R_0402_1005Metric";"C25744";8;
"STM32F103RCTx";;"LQFP-64_10x10mm_P0.5mm";"C8323";2;
"SMALL_HOLE";;"MountingHole_2.2mm_M2_Pad";;4;
"5k1";;"R_0402_1005Metric";"C25905";4;
"Conn_01x02_Pin";;"PinSocket_1x02_P2.54mm_Vertical";;3;
"AudioJack4";;"TRRS-PJ-320A";;2;
"22u";;"C_0603_1608Metric";"C59461";4;
"tab";;"MouseBite";;8;
"TestPoint";;"TestPoint_Pad_D1.0mm";;2;
"AMS1117-3.3";;"SOT-223-3_TabPin2";C6186;2;
"L";;"COIL_GENERATOR10";;1;
"100n";;"C_0402_1005Metric";"C1525";12;
"WHITE";;"LED_0603_1608Metric";"C2290";2;
"10u";;"C_0603_1608Metric";"C96446";2;
"USB_C_Receptacle";;"USB_TYPE-C-31-M-12";"C165948";2;
"L";;"COIL_GENERATOR7";;1;
"Conn_01x04_Pin";;"PinHeader_1x04_P2.54mm_Vertical";;2;
"10n";;"C_0402_1005Metric";"C15195";2;
"L";;"COIL_GENERATOR5";;1;
"SolderJumper_2_Open";;"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";;2;
"Conn_01x04_Pin";;"SWD_POGO";;2;
"SolderJumper_2_Open";;"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";;2;
"SW_Push";;"SW_SPST_CK_RS282G05A3";"C118141";2;
